Position	Time		RR		BPM
96228		96151		0.810		74.000
96387		96310		0.795		75.000
96541		96464		0.770		77.000
96695		96618		0.770		77.000
96844		96767		0.745		80.000
96998		96921		0.770		77.000
97156		97079		0.790		75.000
97315		97238		0.795		75.000
97481		97404		0.830		72.000
97639		97562		0.790		75.000
97789		97712		0.750		80.000
97938		97861		0.745		80.000
98095		98018		0.785		76.000
98246		98169		0.755		79.000
98399		98322		0.765		78.000
98552		98475		0.765		78.000
98704		98627		0.760		78.000
98856		98779		0.760		78.000
99002		98925		0.730		82.000
99144		99067		0.710		84.000
99289		99212		0.725		82.000
99436		99359		0.735		81.000
99590		99513		0.770		77.000
99740		99663		0.750		80.000
99892		99815		0.760		78.000
100039		99962		0.735		81.000
100181		100104		0.710		84.000
100326		100249		0.725		82.000
100471		100394		0.725		82.000
100615		100538		0.720		83.000
100767		100690		0.760		78.000
100926		100849		0.795		75.000
101086		101009		0.800		75.000
101238		101161		0.760		78.000
101388		101311		0.750		80.000
101538		101461		0.750		80.000
101689		101612		0.755		79.000
101847		101770		0.790		75.000
102010		101933		0.815		73.000
102179		102102		0.845		71.000
102342		102265		0.815		73.000
102503		102426		0.805		74.000
102663		102586		0.800		75.000
102820		102743		0.785		76.000
102976		102899		0.780		76.000
103141		103064		0.825		72.000
103318		103241		0.885		67.000
103490		103413		0.860		69.000
103650		103573		0.800		75.000
103811		103734		0.805		74.000
103971		103894		0.800		75.000
104130		104053		0.795		75.000
104290		104213		0.800		75.000
104453		104376		0.815		73.000
104624		104547		0.855		70.000
104791		104714		0.835		71.000
104948		104871		0.785		76.000
105104		105027		0.780		76.000
105263		105186		0.795		75.000
105427		105350		0.820		73.000
105596		105519		0.845		71.000
105762		105685		0.830		72.000
105929		105852		0.835		71.000
106091		106014		0.810		74.000
106253		106176		0.810		74.000
106411		106334		0.790		75.000
106565		106488		0.770		77.000
106734		106657		0.845		71.000
106902		106825		0.840		71.000
107066		106989		0.820		73.000
107225		107148		0.795		75.000
107383		107306		0.790		75.000
107537		107460		0.770		77.000
107692		107615		0.775		77.000
107854		107777		0.810		74.000
108014		107937		0.800		75.000
108177		108100		0.815		73.000
108340		108263		0.815		73.000
108500		108423		0.800		75.000
108650		108573		0.750		80.000
108803		108726		0.765		78.000
108957		108880		0.770		77.000
109118		109041		0.805		74.000
109280		109203		0.810		74.000
109439		109362		0.795		75.000
109598		109521		0.795		75.000
109755		109678		0.785		76.000
109904		109827		0.745		80.000
110051		109974		0.735		81.000
110205		110128		0.770		77.000
110360		110283		0.775		77.000
110520		110443		0.800		75.000
110678		110601		0.790		75.000
110832		110755		0.770		77.000
110979		110902		0.735		81.000
111133		111056		0.770		77.000
111281		111204		0.740		81.000
111433		111356		0.760		78.000
111588		111511		0.775		77.000
111743		111666		0.775		77.000
111897		111820		0.770		77.000
112049		111972		0.760		78.000
112194		112117		0.725		82.000
112339		112262		0.725		82.000
112490		112413		0.755		79.000
112644		112567		0.770		77.000
112800		112723		0.780		76.000
112959		112882		0.795		75.000
113118		113041		0.795		75.000
113269		113192		0.755		79.000
113425		113348		0.780		76.000
113579		113502		0.770		77.000
113732		113655		0.765		78.000
113888		113811		0.780		76.000
114057		113980		0.845		71.000
114223		114146		0.830		72.000
114378		114301		0.775		77.000
114534		114457		0.780		76.000
114684		114607		0.750		80.000
114839		114762		0.775		77.000
114994		114917		0.775		77.000
115152		115075		0.790		75.000
115314		115237		0.810		74.000
115482		115405		0.840		71.000
115638		115561		0.780		76.000
115790		115713		0.760		78.000
115939		115862		0.745		80.000
116092		116015		0.765		78.000
116246		116169		0.770		77.000
116409		116332		0.815		73.000
116571		116494		0.810		74.000
116732		116655		0.805		74.000
116888		116811		0.780		76.000
117042		116965		0.770		77.000
117196		117119		0.770		77.000
117349		117272		0.765		78.000
117504		117427		0.775		77.000
117665		117588		0.805		74.000
117830		117753		0.825		72.000
117984		117907		0.770		77.000
118136		118059		0.760		78.000
118289		118212		0.765		78.000
118445		118368		0.780		76.000
118594		118517		0.745		80.000
118750		118673		0.780		76.000
118910		118833		0.800		75.000
119069		118992		0.795		75.000
119227		119150		0.790		75.000
119378		119301		0.755		79.000
119527		119450		0.745		80.000
119680		119603		0.765		78.000
119837		119760		0.785		76.000
119996		119919		0.795		75.000
120158		120081		0.810		74.000
120319		120242		0.805		74.000
120474		120397		0.775		77.000
120629		120552		0.775		77.000
120785		120708		0.780		76.000
120939		120862		0.770		77.000
121093		121016		0.770		77.000
121259		121182		0.830		72.000
121423		121346		0.820		73.000
121582		121505		0.795		75.000
121731		121654		0.745		80.000
121883		121806		0.760		78.000
122041		121964		0.790		75.000
122198		122121		0.785		76.000
122356		122279		0.790		75.000
122519		122442		0.815		73.000
122686		122609		0.835		71.000
122845		122768		0.795		75.000
122998		122921		0.765		78.000
123150		123073		0.760		78.000
123304		123227		0.770		77.000
123459		123382		0.775		77.000
123622		123545		0.815		73.000
123783		123706		0.805		74.000
123942		123865		0.795		75.000
124095		124018		0.765		78.000
124250		124173		0.775		77.000
124404		124327		0.770		77.000
124550		124473		0.730		82.000
124707		124630		0.785		76.000
124869		124792		0.810		74.000
125033		124956		0.820		73.000
125188		125111		0.775		77.000
125342		125265		0.770		77.000
125493		125416		0.755		79.000
125648		125571		0.775		77.000
125799		125722		0.755		79.000
125954		125877		0.775		77.000
126115		126038		0.805		74.000
126272		126195		0.785		76.000
126428		126351		0.780		76.000
126581		126504		0.765		78.000
126733		126656		0.760		78.000
126879		126802		0.730		82.000
127034		126957		0.775		77.000
127195		127118		0.805		74.000
127355		127278		0.800		75.000
127510		127433		0.775		77.000
127668		127591		0.790		75.000
127821		127744		0.765		78.000
127976		127899		0.775		77.000
128126		128049		0.750		80.000
128280		128203		0.770		77.000
128446		128369		0.830		72.000
128612		128535		0.830		72.000
128768		128691		0.780		76.000
128920		128843		0.760		78.000
129074		128997		0.770		77.000
129223		129146		0.745		80.000
129376		129299		0.765		78.000
129533		129456		0.785		76.000
129692		129615		0.795		75.000
129851		129774		0.795		75.000
130010		129933		0.795		75.000
130164		130087		0.770		77.000
130310		130233		0.730		82.000
130460		130383		0.750		80.000
130612		130535		0.760		78.000
130774		130697		0.810		74.000
130939		130862		0.825		72.000
131095		131018		0.780		76.000
131251		131174		0.780		76.000
131408		131331		0.785		76.000
131560		131483		0.760		78.000
131706		131629		0.730		82.000
131861		131784		0.775		77.000
132022		131945		0.805		74.000
132182		132105		0.800		75.000
132341		132264		0.795		75.000
132493		132416		0.760		78.000
132641		132564		0.740		81.000
132793		132716		0.760		78.000
132945		132868		0.760		78.000
133099		133022		0.770		77.000
133256		133179		0.785		76.000
133412		133335		0.780		76.000
133562		133485		0.750		80.000
133713		133636		0.755		79.000
133863		133786		0.750		80.000
134004		133927		0.705		85.000
134146		134069		0.710		84.000
134296		134219		0.750		80.000
134444		134367		0.740		81.000
134588		134511		0.720		83.000
134732		134655		0.720		83.000
134875		134798		0.715		83.000
135013		134936		0.690		86.000
135153		135076		0.700		85.000
135295		135218		0.710		84.000
135437		135360		0.710		84.000
135585		135508		0.740		81.000
135741		135664		0.780		76.000
135892		135815		0.755		79.000
136040		135963		0.740		81.000
136183		136106		0.715		83.000
136328		136251		0.725		82.000
136477		136400		0.745		80.000
136630		136553		0.765		78.000
136783		136706		0.765		78.000
136941		136864		0.790		75.000
137106		137029		0.825		72.000
137266		137189		0.800		75.000
137414		137337		0.740		81.000
137562		137485		0.740		81.000
137714		137637		0.760		78.000
137867		137790		0.765		78.000
138024		137947		0.785		76.000
138184		138107		0.800		75.000
138345		138268		0.805		74.000
138501		138424		0.780		76.000
138654		138577		0.765		78.000
138805		138728		0.755		79.000
138962		138885		0.785		76.000
139121		139044		0.795		75.000
139279		139202		0.790		75.000
139446		139369		0.835		71.000
139613		139536		0.835		71.000
139769		139692		0.780		76.000
139919		139842		0.750		80.000
140076		139999		0.785		76.000
140239		140162		0.815		73.000
140405		140328		0.830		72.000
140562		140485		0.785		76.000
140724		140647		0.810		74.000
140889		140812		0.825		72.000
141047		140970		0.790		75.000
141196		141119		0.745		80.000
141348		141271		0.760		78.000
141516		141439		0.840		71.000
141686		141609		0.850		70.000
141841		141764		0.775		77.000
141998		141921		0.785		76.000
142157		142080		0.795		75.000
142317		142240		0.800		75.000
142466		142389		0.745		80.000
142620		142543		0.770		77.000
142780		142703		0.800		75.000
142945		142868		0.825		72.000
143102		143025		0.785		76.000
143252		143175		0.750		80.000
143395		143318		0.715		83.000
143539		143462		0.720		83.000
143679		143602		0.700		85.000
143822		143745		0.715		83.000
143972		143895		0.750		80.000
144124		144047		0.760		78.000
144269		144192		0.725		82.000
144420		144343		0.755		79.000
144567		144490		0.735		81.000
144710		144633		0.715		83.000
144849		144772		0.695		86.000
144998		144921		0.745		80.000
145154		145077		0.780		76.000
145312		145235		0.790		75.000
145463		145386		0.755		79.000
145617		145540		0.770		77.000
145769		145692		0.760		78.000
145922		145845		0.765		78.000
146073		145996		0.755		79.000
146225		146148		0.760		78.000
146385		146308		0.800		75.000
146547		146470		0.810		74.000
146708		146631		0.805		74.000
146867		146790		0.795		75.000
147024		146947		0.785		76.000
147176		147099		0.760		78.000
147336		147259		0.800		75.000
147499		147422		0.815		73.000
147664		147587		0.825		72.000
147828		147751		0.820		73.000
147990		147913		0.810		74.000
148151		148074		0.805		74.000
148310		148233		0.795		75.000
148466		148389		0.780		76.000
148621		148544		0.775		77.000
