Position	Time		RR		BPM
319739		319662		0.810		74.000
319901		319824		0.810		74.000
320057		319980		0.780		76.000
320218		320141		0.805		74.000
320386		320309		0.840		71.000
320559		320482		0.865		69.000
320726		320649		0.835		71.000
320889		320812		0.815		73.000
321047		320970		0.790		75.000
321204		321127		0.785		76.000
321364		321287		0.800		75.000
321524		321447		0.800		75.000
321691		321614		0.835		71.000
321860		321783		0.845		71.000
321995		321918		0.675		88.000
322185		322108		0.950		63.000
322344		322267		0.795		75.000
322500		322423		0.780		76.000
322662		322585		0.810		74.000
322829		322752		0.835		71.000
322994		322917		0.825		72.000
323159		323082		0.825		72.000
323321		323244		0.810		74.000
323479		323402		0.790		75.000
323632		323555		0.765		78.000
323785		323708		0.765		78.000
323925		323848		0.700		85.000
324101		324024		0.880		68.000
324267		324190		0.830		72.000
324424		324347		0.785		76.000
324576		324499		0.760		78.000
324726		324649		0.750		80.000
324876		324799		0.750		80.000
325026		324949		0.750		80.000
325177		325100		0.755		79.000
325332		325255		0.775		77.000
325486		325409		0.770		77.000
325642		325565		0.780		76.000
325788		325711		0.730		82.000
325927		325850		0.695		86.000
326063		325986		0.680		88.000
326208		326131		0.725		82.000
326357		326280		0.745		80.000
326508		326431		0.755		79.000
326659		326582		0.755		79.000
326810		326733		0.755		79.000
326955		326878		0.725		82.000
327104		327027		0.745		80.000
327249		327172		0.725		82.000
327400		327323		0.755		79.000
327554		327477		0.770		77.000
327717		327640		0.815		73.000
327879		327802		0.810		74.000
328033		327956		0.770		77.000
328182		328105		0.745		80.000
328337		328260		0.775		77.000
328493		328416		0.780		76.000
328645		328568		0.760		78.000
328805		328728		0.800		75.000
328969		328892		0.820		73.000
329129		329052		0.800		75.000
329286		329209		0.785		76.000
329442		329365		0.780		76.000
329562		329485		0.600		100.000
329739		329662		0.885		67.000
329904		329827		0.825		72.000
330074		329997		0.850		70.000
330236		330159		0.810		74.000
330393		330316		0.785		76.000
330555		330478		0.810		74.000
330705		330628		0.750		80.000
330858		330781		0.765		78.000
331019		330942		0.805		74.000
331187		331110		0.840		71.000
331345		331268		0.790		75.000
331515		331438		0.850		70.000
331677		331600		0.810		74.000
331822		331745		0.725		82.000
331969		331892		0.735		81.000
332119		332042		0.750		80.000
332260		332183		0.705		85.000
332405		332328		0.725		82.000
332557		332480		0.760		78.000
332698		332621		0.705		85.000
332840		332763		0.710		84.000
332981		332904		0.705		85.000
333118		333041		0.685		87.000
333248		333171		0.650		92.000
333387		333310		0.695		86.000
333533		333456		0.730		82.000
333682		333605		0.745		80.000
333824		333747		0.710		84.000
333974		333897		0.750		80.000
334120		334043		0.730		82.000
334267		334190		0.735		81.000
334413		334336		0.730		82.000
334560		334483		0.735		81.000
334708		334631		0.740		81.000
334864		334787		0.780		76.000
335020		334943		0.780		76.000
335179		335102		0.795		75.000
335333		335256		0.770		77.000
335481		335404		0.740		81.000
335629		335552		0.740		81.000
335789		335712		0.800		75.000
335949		335872		0.800		75.000
336105		336028		0.780		76.000
336274		336197		0.845		71.000
336446		336369		0.860		69.000
336600		336523		0.770		77.000
336751		336674		0.755		79.000
336909		336832		0.790		75.000
337073		336996		0.820		73.000
337235		337158		0.810		74.000
337401		337324		0.830		72.000
337566		337489		0.825		72.000
337728		337651		0.810		74.000
337881		337804		0.765		78.000
338027		337950		0.730		82.000
338177		338100		0.750		80.000
338332		338255		0.775		77.000
338489		338412		0.785		76.000
338649		338572		0.800		75.000
338811		338734		0.810		74.000
338962		338885		0.755		79.000
339114		339037		0.760		78.000
339271		339194		0.785		76.000
339426		339349		0.775		77.000
339585		339508		0.795		75.000
339746		339669		0.805		74.000
339910		339833		0.820		73.000
340072		339995		0.810		74.000
340226		340149		0.770		77.000
340380		340303		0.770		77.000
340535		340458		0.775		77.000
340695		340618		0.800		75.000
340858		340781		0.815		73.000
341020		340943		0.810		74.000
341182		341105		0.810		74.000
341335		341258		0.765		78.000
341491		341414		0.780		76.000
341644		341567		0.765		78.000
341796		341719		0.760		78.000
341952		341875		0.780		76.000
342122		342045		0.850		70.000
342284		342207		0.810		74.000
342441		342364		0.785		76.000
342595		342518		0.770		77.000
342748		342671		0.765		78.000
342905		342828		0.785		76.000
343061		342984		0.780		76.000
343222		343145		0.805		74.000
343385		343308		0.815		73.000
343551		343474		0.830		72.000
343707		343630		0.780		76.000
343860		343783		0.765		78.000
344014		343937		0.770		77.000
344170		344093		0.780		76.000
344332		344255		0.810		74.000
344497		344420		0.825		72.000
344663		344586		0.830		72.000
344825		344748		0.810		74.000
344983		344906		0.790		75.000
345136		345059		0.765		78.000
345290		345213		0.770		77.000
345447		345370		0.785		76.000
345604		345527		0.785		76.000
345773		345696		0.845		71.000
345936		345859		0.815		73.000
346093		346016		0.785		76.000
346240		346163		0.735		81.000
346395		346318		0.775		77.000
346546		346469		0.755		79.000
346701		346624		0.775		77.000
346853		346776		0.760		78.000
347014		346937		0.805		74.000
347172		347095		0.790		75.000
347329		347252		0.785		76.000
347474		347397		0.725		82.000
347624		347547		0.750		80.000
347776		347699		0.760		78.000
347935		347858		0.795		75.000
348095		348018		0.800		75.000
348255		348178		0.800		75.000
348413		348336		0.790		75.000
348569		348492		0.780		76.000
348722		348645		0.765		78.000
348873		348796		0.755		79.000
349025		348948		0.760		78.000
349186		349109		0.805		74.000
349351		349274		0.825		72.000
349513		349436		0.810		74.000
349619		349542		0.530		113.000
349799		349722		0.900		66.000
349947		349870		0.740		81.000
350095		350018		0.740		81.000
350240		350163		0.725		82.000
350392		350315		0.760		78.000
350545		350468		0.765		78.000
350696		350619		0.755		79.000
350845		350768		0.745		80.000
350989		350912		0.720		83.000
351134		351057		0.725		82.000
351278		351201		0.720		83.000
351420		351343		0.710		84.000
351573		351496		0.765		78.000
351723		351646		0.750		80.000
351874		351797		0.755		79.000
352024		351947		0.750		80.000
352173		352096		0.745		80.000
352318		352241		0.725		82.000
352459		352382		0.705		85.000
352605		352528		0.730		82.000
352761		352684		0.780		76.000
352917		352840		0.780		76.000
353076		352999		0.795		75.000
353238		353161		0.810		74.000
353394		353317		0.780		76.000
353545		353468		0.755		79.000
353700		353623		0.775		77.000
353864		353787		0.820		73.000
354028		353951		0.820		73.000
354190		354113		0.810		74.000
354360		354283		0.850		70.000
354523		354446		0.815		73.000
354682		354605		0.795		75.000
354836		354759		0.770		77.000
354994		354917		0.790		75.000
355158		355081		0.820		73.000
355328		355251		0.850		70.000
355494		355417		0.830		72.000
355657		355580		0.815		73.000
355818		355741		0.805		74.000
355977		355900		0.795		75.000
356135		356058		0.790		75.000
356289		356212		0.770		77.000
356458		356381		0.845		71.000
356623		356546		0.825		72.000
356783		356706		0.800		75.000
356934		356857		0.755		79.000
357088		357011		0.770		77.000
357240		357163		0.760		78.000
357393		357316		0.765		78.000
357546		357469		0.765		78.000
357703		357626		0.785		76.000
357860		357783		0.785		76.000
358016		357939		0.780		76.000
358162		358085		0.730		82.000
358306		358229		0.720		83.000
358448		358371		0.710		84.000
358591		358514		0.715		83.000
358735		358658		0.720		83.000
358893		358816		0.790		75.000
359042		358965		0.745		80.000
359187		359110		0.725		82.000
359334		359257		0.735		81.000
359478		359401		0.720		83.000
359618		359541		0.700		85.000
359754		359677		0.680		88.000
359898		359821		0.720		83.000
360044		359967		0.730		82.000
360193		360116		0.745		80.000
360345		360268		0.760		78.000
360486		360409		0.705		85.000
360623		360546		0.685		87.000
360764		360687		0.705		85.000
360904		360827		0.700		85.000
361043		360966		0.695		86.000
